Område,Kommune,Beboere,Ledighed,Etnicitet,Dømte,Uddannelse,Indkomst
Mjølnerparken,København,1.659,"38,0","80,5","2,02","75,2","49,6"
Tingbjerg/Utterslevhuse,København,6.626,"25,7","73,0","2,04","75,4","52,8"
Tåstrupgård,Høje-Taastrup,2.181,"27,0","65,1","1,88","83,0","52,5"
Gadehavegård,Høje-Taastrup,2.189,"36,2","56,4","2,07","71,8","55,2"
Agervang,Holbæk,1.414,"41,7","56,2","1,38","67,4","61,7"
"Ringparken, Slagelse",Slagelse,2.008,"41,2","57,0","2,07","70,2","57,7"
Motalavej,Slagelse,1.674,"38,6","51,7","2,20","72,1","60,1"
Vollsmose,Odense,7.767,"49,5","76,6","2,70","77,2","53,3"
Stengårdsvej,Esbjerg,1.342,"43,6","79,0","2,69","84,1","55,9"
Sundparken,Horsens,1.588,"47,8","69,1","1,21","78,4","54,7"
Munkebo,Kolding,1.465,"40,5","61,7","1,59","72,2","65,5"
Skovvejen/Skovparken,Kolding,2.324,"39,8","65,9","2,35","72,7","59,4"
Finlandsparken,Vejle,1.586,"41,1","74,0","1,03","77,2","62,7"
Bispehaven,Aarhus,2.237,"43,9","67,5","1,96","71,9","56,8"
Gellerupparken/Toveshøj,Aarhus,5.191,"49,3","80,8","2,96","82,0","53,9"
