##;;;;;;
;;;;;;
Beskrivelse af ark;;;;;;
Udvikler: Diana Nuridova ;;;;;;
Udviklingsdato: 23. oktober 2020;;;;;;
Senest opdateret:;;;;;;
Beskrivelse: ;;;;;;
;;;;;;
;;;;;;
Udsatte boligområder pr. 1. december 2019;;;;;;
;;;;;;
;;Beboere;Udenfor arb.marked;Dømte;Kun ;Gns.
;;;;;grundskole;indkomst
;;(1.000 +);> 40 pct.;≥ 2,03 pct.;> 60 pct.;< 55 pct.
Område;Kommune;1. jan 2019;2017-18;2017-18;1. jan 2019;År 2018
Lundtoftegade      ;København;1.532;32,8;3,05;60,4;55,0
Aldersrogade      ;København;2.193;33,3;1,65;64,4;52,8
Mjølnerparken      ;København;1.659;38,0;2,02;75,2;49,6
Tingbjerg/Utterslevhuse      ;København;6.626;25,7;2,04;75,4;52,8
Bispeparken      ;København;1.558;30,9;3,13;60,4;56,2
Hørgården      ;København;1.583;32,4;2,32;61,8;57,9
Tåstrupgård      ;Høje-Taastrup;2.181;27,0;1,88;83,0;52,5
Gadehavegård      ;Høje-Taastrup;2.189;36,2;2,07;71,8;55,2
Nøjsomhed/Sydvej      ;Helsingør;1.084;41,1;2,27;72,7;51,7
Karlemoseparken      ;Køge;1.452;38,3;2,09;64,1;64,2
Agervang      ;Holbæk;1.414;41,7;1,38;67,4;61,7
Ringparken, Slagelse     ;Slagelse;2.008;41,2;2,07;70,2;57,7
Motalavej      ;Slagelse;1.674;38,6;2,20;72,1;60,1
Lindholm      ;Guldborgsund;1.527;48,7;1,22;64,6;55,6
Højstrupvej-kvarteret      ;Odense;1.522;40,7;2,12;52,0;63,6
Solbakken mv     ;Odense;1.331;41,5;2,55;62,4;56,0
Korsløkkeparken Øst     ;Odense;2.066;45,2;1,63;65,4;61,5
Kertemindevejkvarteret      ;Odense;1.385;50,2;1,08;61,2;63,5
Vollsmose;Odense;7.767;49,5;2,70;77,2;53,3
Byparken/Skovparken      ;Svendborg;1.422;50,5;1,88;68,9;58,6
Nørager/Søstjernevej m.fl     ;Sønderborg;1.327;44,7;1,81;75,6;60,9
Præstebakken/Syrenparken      ;Esbjerg;1.535;41,0;1,50;70,4;57,6
Stengårdsvej      ;Esbjerg;1.342;43,6;2,69;84,1;55,9
Hedelundgårdparken      ;Esbjerg;2.403;45,1;2,01;63,4;63,0
Korskærparken      ;Fredericia;1.962;40,1;1,85;68,8;63,2
Sønderbro      ;Horsens;1.337;43,0;1,12;69,5;61,3
Sundparken      ;Horsens;1.588;47,8;1,21;78,4;54,7
Munkebo      ;Kolding;1.465;40,5;1,59;72,2;65,5
Skovvejen/Skovparken      ;Kolding;2.324;39,8;2,35;72,7;59,4
Finlandsparken      ;Vejle;1.586;41,1;1,03;77,2;62,7
Glarbjergvej-området      ;Randers;1.505;45,5;1,56;64,2;60,1
Gammel Jennumparken     ;Randers;1.363;49,7;1,69;67,5;58,6
Resedavej/Nørrevang II     ;Silkeborg;1.876;41,4;1,82;67,4;61,3
Bispehaven      ;Aarhus;2.237;43,9;1,96;71,9;56,8
Skovgårdsparken      ;Aarhus;1.476;39,6;2,14;65,6;59,9
Gellerupparken/Toveshøj      ;Aarhus;5.191;49,3;2,96;82,0;53,9
Havrevej      ;Thisted;1.201;40,6;1,70;71,0;62,9
Ellekonebakken      ;Viborg;1.053;52,1;1,79;67,9;56,8
Houlkærvænget      ;Viborg;1.063;45,1;1,29;63,1;60,9
Løvvangen      ;Aalborg;1.843;41,3;1,64;63,3;67,1
